ID_Ciclo;Data_Proposta_Solicitacao;Data_Aceite_Aprovacao;Tipo_Manutencao;Titulo_Assunto;Descricao_Escopo;Horas_Estimadas;Horas_Realizadas;Status;Aprovador_Responsavel;Documentos_Referencias_Emails
CICLO-01;19/02/2026;20/02/2026;Evolutiva;Manutenção Evolutiva (Links Externos e Mídias Vinculadas);Implementação de abas de mídias vinculadas nos cadastros Acervo e Evento e criação de containers dinâmicos (Galeria, Links Externos, Vídeos e Downloads).;11.00;11.00;Concluído / Aceito;Vanderlina (Memorial) / Diretoria Cultural;"E-mails #21, #24, #27, #28; PDF Manutenção Evolutiva Links Externos.pdf"
CICLO-02;19/02/2026;20/02/2026;Corretiva;Pacote de Ajustes Pontuais e Melhorias Corretivas;Execução de 14 solicitações focadas em correções de textos em publicações, parametrização de datas e refinamentos de interface exibidos no Memorial e listagens.;2.00;2.00;Concluído / Aceito;Vanderlina (Memorial);E-mails #29, #32
CICLO-03;20/02/2026;12/03/2026;Evolutiva;Ajuste de Navegação e Componentes de Carrossel (UX);Refinamento da navegação (UX) e visualização de dados, com recalibração de 28 componentes de carrossel (Listing Grid) nas páginas Coleções, Memorial e Acervos.;4.00;4.00;Concluído / Aceito;Vanderlina (Memorial);E-mails #30, #31, #46, #47
CICLO-04;24/02/2026;03/03/2026;Evolutiva;Adequação de Cadastro de Personalidades e Tag Governança;Reestruturação do cadastro de personalidades com a nova estrutura de histórico em tag de governança, modernização dos filtros na página e consolidação de registros legados.;12.00;12.00;Concluído / Aceito;Vanderlina (Memorial);E-mails #33, #34, #35, #36
CICLO-05;10/03/2026;10/03/2026;Corretiva / Evolutiva;Manutenção Corretiva e Evolutiva (Novas Categorias e Regatas);Limpeza visual de rótulos gerais, inclusão dos carrosséis das Regatas, classificação 'Elas pelo Iate' e novas categorias em Eventos: RH, EMIATE e CIATE.;2.00;2.00;Concluído / Aceito;Vanderlina (Memorial);E-mails #37, #38
CICLO-06;10/03/2026;12/03/2026;Evolutiva;Manutenção Evolutiva - Destaque 'Atividades Iate';Planejamento e implantação do botão 'Atividades Iate' na Home, além de página interna responsiva reunindo 07 seções de atividades e editorial institucional.;6.00;6.00;Concluído / Aceito;Vanderlina (Memorial);"E-mails #39, #40, #41, #42, #43, #44; PDF Proposta Atividades Iate.pdf"
CICLO-07;08/04/2026;14/04/2026;Preventiva / Evolutiva;Proposta de Manutenção Preventiva e Evolutiva - Destaque Histórico ICB;Reestruturação visual e destaque da seção Histórico ICB, preservação de documentação e padronização visual.;8.00;8.00;Concluído / Aceito;Vanderlina (Memorial) / Sílvia Frabetti;"E-mails #63, #66, #71, #72; PDF Proposta 08-04-26.pdf"
CICLO-08;08/04/2026;16/04/2026;Evolutiva / Corretiva;Manutenção Evolutiva - Galerias e Investigação de Imagens;Ajuste técnico nos módulos de galerias e investigação de limites/falhas no salvamento e visualização de imagens.;4.00;4.00;Concluído / Aceito;Vanderlina (Memorial);"E-mails #64, #65, #74, #75; PDF Proposta Galerias 08-04-26.pdf"
CICLO-09;10/04/2026;10/04/2026;Corretiva / Evolutiva;Manutenção Corretiva e Evolutiva - Adequação Mobile (Layout Responsivo);Diagnóstico e adequação visual em smartphones e tablets para toda a extensão do site Acervo Digital.;5.00;5.00;Concluído / Aceito;Vanderlina (Memorial);"E-mails #69, #70; PDF Relatório Entrega Layout Responsivo Mobile.pdf"
CICLO-10;16/04/2026;16/04/2026;Evolutiva;Manutenção Evolutiva - Cadastro Mérito Iate e Página Memorial Carrosséis;Desenvolvimento do módulo Mérito Iate, integração de novos carrosséis na página Memorial e reestruturação da interface.;11.00;11.00;Concluído / Aceito;Vanderlina (Memorial);"E-mails #73, #76; PDF Proposta_Manutencao_Merito_Iate_11h.pdf"
CICLO-11;26/05/2026;26/05/2026;Preventiva / Evolutiva;Ciclos de Manutenção Maio/2026 - Carrossel 'Mais Eventos em Destaque';Validação de categorias, reestruturação da seção Mais Eventos em Destaque na página Coleções e entrega técnica de feitos de Maio/2026.;6.00;6.00;Concluído / Aceito;Diretoria Cultural / Vanderlina;"E-mails #78, #79, #80; PDF ATA DE REUNIÃO Apresentação De Feitos em Maio-26.pdf"
CICLO-12;09/07/2026;09/07/2026;Suporte / Consultoria;Suporte Técnico Julho/2026 - Otimização com Plugin Smush Pro & Ata Re-briefing;Diagnóstico de capacidade de disco, re-briefing técnico (Ata 07/07/2026) e recomendação de instalação do plugin Smush Pro para otimização de imagens.;4.00;4.00;Concluído / Aceito;Vanderlina (Memorial) / Sílvia Frabetti / Alexandre;"E-mails #81, #82, #83; PDF Proposta e Ata Suporte Técnico Julho 2026.pdf"
CICLO-13;20/07/2026;20/07/2026;Treinamento;Treinamento Site Acervo Digital ICB;Sessão de treinamento de gestão web e WordPress para autonomia de edição de galerias, slides e identidade visual pelo Memorial.;2.00;2.00;Concluído / Realizado;Memorial Iate / André Souza;E-mail #84 (Anotações Gemini)
